Municipality Name,Municipality ID
Aabenraa,0
Aalborg,1
Albertslund,2
Allerød,3
Assens,4
Ballerup,5
Billund,6
Bornholm,7
Brøndby,8
Brønderslev,9
Christiansø,10
Dragør,11
Egedal,12
Esbjerg,13
Faaborg-Midtfyn,14
Fanø,15
Favrskov,16
Faxe,17
Fredensborg,18
Fredericia,19
Frederiksberg,20
Frederikshavn,21
Frederikssund,22
Furesø,23
Gentofte,24
Gladsaxe,25
Glostrup,26
Greve,27
Gribskov,28
Guldborgsund,29
Haderslev,30
Halsnæs,31
Hedensted,32
Helsingør,33
Herlev,34
Herning,35
Hillerød,36
Hjørring,37
Holbæk,38
Holstebro,39
Horsens,40
Hvidovre,41
Høje Taastrup,42
Hørsholm,43
Ikast-Brande,44
Ishøj,45
Jammerbugt,46
Kalundborg,47
Kerteminde,48
Kolding,49
København,50
Køge,51
Langeland,52
Lejre,53
Lemvig,54
Lolland,55
Lyngby-Taarbæk,56
Læsø,57
Mariagerfjord,58
Middelfart,59
Morsø,60
Norddjurs,61
Nordfyns,62
Nyborg,63
Næstved,64
Odder,65
Odense,66
Odsherred,67
Randers,68
Rebild,69
Ringkøbing-Skjern,70
Ringsted,71
Roskilde,72
Rudersdal,73
Rødovre,74
Samsø,75
Silkeborg,76
Skanderborg,77
Skive,78
Slagelse,79
Solrød,80
Sorø,81
Stevns,82
Struer,83
Svendborg,84
Syddjurs,85
Sønderborg,86
Thisted,87
Tårnby,88
Tønder,89
Vallensbæk,90
Varde,91
Vejen,92
Vejle,93
Vesthimmerland,94
Viborg,95
Vordingborg,96
Ærø,97
Århus,98
