Gurobi Optimizer version 11.0.3 build v11.0.3rc0 (linux64 - "Rocky Linux 9.4 (Blue Onyx)")

CPU model: AMD EPYC 7662 64-Core Processor, instruction set [SSE2|AVX|AVX2]
Thread count: 128 physical cores, 128 logical processors, using up to 32 threads

Optimize a model with 15059016 rows, 7352685 columns and 43629859 nonzeros
Model fingerprint: 0x47003898
Variable types: 0 continuous, 7352685 integer (7352685 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e-04, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 5e+04]
Found heuristic solution: objective 1184.0264988
Presolve removed 1890971 rows and 816965 columns (presolve time = 5s) ...
Presolve removed 1890971 rows and 816965 columns (presolve time = 10s) ...
Presolve removed 1890971 rows and 816965 columns (presolve time = 15s) ...
Presolve removed 1890971 rows and 816965 columns (presolve time = 20s) ...
Presolve removed 1890971 rows and 816965 columns (presolve time = 25s) ...
Presolve removed 1890971 rows and 816965 columns (presolve time = 32s) ...
Presolve removed 1890971 rows and 816965 columns (presolve time = 36s) ...
Presolve removed 1890971 rows and 816965 columns (presolve time = 40s) ...
Presolve removed 1890971 rows and 816965 columns (presolve time = 45s) ...
Presolve removed 1890971 rows and 816965 columns (presolve time = 50s) ...
Presolve removed 1890971 rows and 816965 columns (presolve time = 55s) ...
Presolve removed 1890971 rows and 816965 columns (presolve time = 60s) ...
Presolve removed 1890971 rows and 816965 columns (presolve time = 66s) ...
Presolve removed 6600035 rows and 1023485 columns (presolve time = 70s) ...
Presolve removed 6600035 rows and 1023485 columns (presolve time = 75s) ...
Presolve removed 6600035 rows and 1023485 columns (presolve time = 81s) ...
Presolve removed 6600035 rows and 1023485 columns (presolve time = 85s) ...
Presolve removed 6600035 rows and 1023485 columns (presolve time = 90s) ...
Presolve removed 6600035 rows and 1023485 columns (presolve time = 95s) ...
Presolve removed 6600035 rows and 1023485 columns (presolve time = 100s) ...
Presolve removed 6600035 rows and 1023485 columns (presolve time = 105s) ...
Presolve removed 6600035 rows and 1023485 columns (presolve time = 110s) ...
Presolve removed 6600035 rows and 1023485 columns (presolve time = 116s) ...
Presolve removed 6600035 rows and 1023485 columns (presolve time = 120s) ...
Presolve removed 6600034 rows and 1023484 columns
Presolve time: 124.01s
Presolved: 8458982 rows, 6329201 columns, 24196956 nonzeros
Variable types: 0 continuous, 6329201 integer (6329200 binary)
Found heuristic solution: objective 1578.9728974
Concurrent LP optimizer: primal and dual simplex
Showing primal log only...


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    9.8518900e+03   1.788725e+04   3.036562e+10    182s
   53422    5.6499899e+03   4.660000e+02   5.425078e+11    185s
   74761    5.4711007e+03   0.000000e+00   5.604986e+04    189s
 4176793    5.8939409e+03   0.000000e+00   3.781224e+04    192s
 4247619    5.9262124e+03   0.000000e+00   4.270064e+03    206s
 4312499    5.9728699e+03   0.000000e+00   4.335107e+04    221s
 4356561    5.9856361e+03   0.000000e+00   2.406585e+04    241s
 4397141    5.9970935e+03   0.000000e+00   1.911325e+04    263s
 4433581    6.0092924e+03   0.000000e+00   6.382433e+03    287s
 4469221    6.0191274e+03   0.000000e+00   6.410010e+03    310s
 4502030    6.0276868e+03   0.000000e+00   4.311482e+03    331s
 4530985    6.0355312e+03   0.000000e+00   2.469576e+04    354s
 4547670    6.0396554e+03   0.000000e+00   6.989583e+03    373s
 4575075    6.0458008e+03   0.000000e+00   4.220799e+04    403s
 4594859    6.0501623e+03   0.000000e+00   6.694832e+03    431s
 4614646    6.0544238e+03   0.000000e+00   2.780988e+03    455s
 4637733    6.0614416e+03   0.000000e+00   5.865725e+03    476s
 4651785    6.0700853e+03   0.000000e+00   9.194597e+05    488s
 4664333    6.0787356e+03   0.000000e+00   5.344646e+04    509s
 4678498    6.0859618e+03   0.000000e+00   9.963133e+03    527s
 4696132    6.0949785e+03   0.000000e+00   1.926531e+04    547s
 4708514    6.1013860e+03   0.000000e+00   1.852674e+04    563s
 4728973    6.1108633e+03   0.000000e+00   1.108409e+04    585s
 4739180    6.1170621e+03   0.000000e+00   6.436527e+03    599s
 4754185    6.1230450e+03   0.000000e+00   8.704068e+03    621s
 4769752    6.1287303e+03   0.000000e+00   5.622522e+03    642s
 4780255    6.1330208e+03   0.000000e+00   2.729504e+04    664s
 4793349    6.1367154e+03   0.000000e+00   2.985206e+04    679s
 4810370    6.1413178e+03   0.000000e+00   1.841449e+04    704s
 4820643    6.1453587e+03   0.000000e+00   3.294904e+04    727s
 4843163    6.1514362e+03   0.000000e+00   7.671745e+04    758s
 4853362    6.1546427e+03   0.000000e+00   5.421828e+04    779s
 4870275    6.1609271e+03   0.000000e+00   9.071857e+03    793s
 4897393    6.1705427e+03   0.000000e+00   4.115234e+03    812s
 4906491    6.1728161e+03   0.000000e+00   3.377391e+03    825s
 4919677    6.1760835e+03   0.000000e+00   1.412539e+04    835s
 4930107    6.1787126e+03   0.000000e+00   1.758006e+04    847s
 4941556    6.1813711e+03   0.000000e+00   3.868500e+03    859s
 4957089    6.1848806e+03   0.000000e+00   4.527453e+03    875s
