Gurobi Optimizer version 11.0.3 build v11.0.3rc0 (linux64 - "Rocky Linux 9.4 (Blue Onyx)")

CPU model: AMD EPYC 7662 64-Core Processor, instruction set [SSE2|AVX|AVX2]
Thread count: 128 physical cores, 128 logical processors, using up to 32 threads

Optimize a model with 10364840 rows, 5072418 columns and 30072210 nonzeros
Model fingerprint: 0xbe5bac8d
Variable types: 0 continuous, 5072418 integer (5072418 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e-04, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 3e+04]
Found heuristic solution: objective 922.5436993
Presolve removed 1302612 rows and 563602 columns (presolve time = 6s) ...
Presolve removed 1302612 rows and 563602 columns (presolve time = 10s) ...
Presolve removed 1302612 rows and 563602 columns (presolve time = 15s) ...
Presolve removed 1302612 rows and 563602 columns (presolve time = 21s) ...
Presolve removed 1302612 rows and 563602 columns (presolve time = 25s) ...
Presolve removed 1302612 rows and 563602 columns (presolve time = 30s) ...
Presolve removed 1302612 rows and 563602 columns (presolve time = 35s) ...
Presolve removed 1302612 rows and 563602 columns (presolve time = 40s) ...
Presolve removed 4440172 rows and 654362 columns (presolve time = 45s) ...
Presolve removed 4440172 rows and 654362 columns (presolve time = 50s) ...
Presolve removed 4440172 rows and 654362 columns (presolve time = 55s) ...
Presolve removed 4440172 rows and 654362 columns (presolve time = 60s) ...
Presolve removed 4440172 rows and 654362 columns (presolve time = 65s) ...
Presolve removed 4440172 rows and 654362 columns (presolve time = 70s) ...
Presolve removed 4440172 rows and 654362 columns (presolve time = 75s) ...
Presolve removed 4440171 rows and 654361 columns
Presolve time: 77.36s
Presolved: 5924669 rows, 4418057 columns, 16895840 nonzeros
Variable types: 0 continuous, 4418057 integer (4418056 binary)
Found heuristic solution: objective 1399.2448987
Concurrent LP optimizer: primal and dual simplex
Showing primal log only...


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    5.6734236e+03   1.327700e+04   2.336737e+10    115s
   16721    3.6660761e+03   2.200125e+03   1.186228e+11    115s
   82516    3.0484515e+03   0.000000e+00   3.290442e+04    121s
 3015918    3.3785142e+03   0.000000e+00   1.648852e+04    129s
 3051428    3.3864718e+03   0.000000e+00   1.345070e+05    137s
 3088073    3.3923933e+03   0.000000e+00   1.470217e+04    146s
 3122863    3.4019032e+03   0.000000e+00   1.223623e+04    156s
 3155313    3.4089168e+03   0.000000e+00   7.979093e+03    168s
 3184650    3.4170561e+03   0.000000e+00   7.429614e+03    182s
 3206811    3.4236379e+03   0.000000e+00   5.142299e+03    193s
 3238912    3.4293239e+03   0.000000e+00   4.219884e+03    205s
 3259606    3.4348176e+03   0.000000e+00   3.320721e+04    214s
 3281482    3.4401907e+03   0.000000e+00   1.087869e+04    223s
 3299291    3.4437561e+03   0.000000e+00   6.832831e+03    232s
 3312397    3.4470328e+03   0.000000e+00   2.033683e+04    241s
 3341999    3.4532365e+03   0.000000e+00   2.292488e+04    255s
 3357764    3.4579419e+03   0.000000e+00   1.769950e+04    267s
 3381595    3.4623668e+03   0.000000e+00   2.695031e+04    287s
 3401308    3.4670464e+03   0.000000e+00   2.047558e+04    303s
 3420077    3.4710097e+03   0.000000e+00   5.428721e+03    317s
 3434843    3.4743813e+03   0.000000e+00   2.455685e+03    326s
 3452635    3.4795630e+03   0.000000e+00   3.158418e+04    335s
 3471604    3.4842211e+03   0.000000e+00   3.316259e+04    350s
 3482315    3.4876200e+03   0.000000e+00   4.369173e+04    358s
 3493896    3.4902807e+03   0.000000e+00   3.435525e+04    371s
 3514628    3.4942424e+03   0.000000e+00   7.593105e+03    395s
 3525938    3.4964894e+03   0.000000e+00   9.147171e+03    406s
 3543365    3.5001153e+03   0.000000e+00   7.489659e+03    418s
 3553666    3.5028482e+03   0.000000e+00   7.093210e+03    434s
 3567921    3.5051237e+03   0.000000e+00   4.192669e+03    446s
 3583011    3.5081460e+03   0.000000e+00   4.989236e+03    456s
 3594173    3.5102934e+03   0.000000e+00   2.116112e+03    464s
 3605762    3.5150432e+03   0.000000e+00   1.135993e+04    474s
 3613990    3.5176605e+03   0.000000e+00   2.865400e+03    480s
 3621040    3.5204346e+03   0.000000e+00   5.735630e+03    485s
 3630611    3.5229102e+03   0.000000e+00   1.932372e+04    494s
 3642787    3.5259339e+03   0.000000e+00   2.585240e+04    507s
 3650686    3.5280317e+03   0.000000e+00   9.957670e+03    518s
 3660473    3.5306789e+03   0.000000e+00   5.054263e+03    527s
 3671126    3.5337756e+03   0.000000e+00   5.345436e+03    535s
 3681242    3.5368075e+03   0.000000e+00   1.396059e+04    542s
 3690374    3.5387519e+03   0.000000e+00   2.139711e+04    549s
 3704923    3.5424827e+03   0.000000e+00   1.084526e+04    563s
 3713195    3.5460805e+03   0.000000e+00   1.049292e+04    576s
 3720998    3.5490319e+03   0.000000e+00   9.233465e+03    588s
 3733438    3.5554950e+03   0.000000e+00   3.454478e+03    600s
